Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Turan Gunes Starbucks,https://goo.gl/maps/a3YiFe92sJmcSHT3A,7AM,11PM,☕☕☕,💪💪💪,🔌🔌🔌
Arabica Coffee House Yıldız Kule,https://goo.gl/maps/iiqF24F6Mfks1snEA,7.30AM,11PM,☕☕☕,💪💪💪,🔌🔌🔌
